n,sessions,throughput,vlink_throughput,generation_latency_max,generation_latency_min,generation_latency_agg,generation_latency_avg,vlink_generation_latency_max,vlink_generation_latency_min,vlink_generation_latency_agg,vlink_generation_latency_avg,fidelity_avg,fidelity_loss_avg,vlink_fidelity_avg,vlink_fidelity_loss_avg,swaps,c_message_count,q_message_count,vlink_swaps,vlink_c_message_count,vlink_q_message_count
240,24,117.56523666267007,121.54001822148379,0.011302560199999779,0.004909100800000487,40.88225183839999,0.008517135799666665,0.011305165200000068,0.0036717951999999166,39.57095921760002,0.008243949837000004,0.9670402487938932,0.032959751206106835,0.9682530537675221,0.03174694623247794,1.3666666666666667,27520.0,11360.0,1.2833333333333334,26720.0,10960.0
240,96,123.90725448741645,120.92076522299892,0.011347008200000452,0.0036283447999991836,155.04165364799996,0.008075086127499999,0.019025671000000174,0.0036328506000002036,157.80450067060002,0.008271064243467397,0.9689860467408906,0.031013953259109495,0.967885523548962,0.03211447645103802,1.2312499999999997,104880.0,42840.0,1.2936104889884283,106600.6,43680.0
260,26,126.00840592823485,123.62036457335645,0.01130361519999994,0.003667568399999732,41.33909572420002,0.007949826100807697,0.01132374400000009,0.0037032472000005255,42.11360668080002,0.008098770515538464,0.9695598262009714,0.030440173799028546,0.9689133515634252,0.031086648436574847,1.1923076923076923,28000.0,11400.0,1.2384615384615383,28480.0,11640.0
260,104,123.91426281045815,122.35400741321607,0.011366724800000939,0.0036596787999995327,167.90752071740002,0.008072476957567309,0.011327009599999372,0.0036572559999994425,169.4321833806,0.008177218825451643,0.9690261842334825,0.030973815766517476,0.9685521815915255,0.03144781840847448,1.2307692307692308,113600.0,46400.0,1.2625466766243467,114480.0,46880.0
280,28,128.9236297802487,121.35177822066764,0.01127083039999981,0.004322909599999747,43.47701881979998,0.007763753360678569,0.011272889200000033,0.005482837600000146,46.2096836346,0.008251729220464285,0.9704569326616334,0.02954306733836658,0.968265056295704,0.03173494370429606,1.1357142857142857,29520.0,11960.0,1.2857142857142856,31200.0,12800.0
280,112,126.74500332532925,126.57537787759038,0.011333976800000123,0.003610053600000107,176.79099740539996,0.007892455241312499,0.012401598599999859,0.003634018399999994,176.8117539494,0.007906824014101189,0.9698140817702876,0.03018591822971235,0.9696530575738842,0.030346942426115842,1.175,119840.0,48720.0,1.18225546975547,119880.2,48720.0
300,30,124.46636441571566,128.24557346892246,0.011346450599999891,0.0036722042000000956,48.23441900539998,0.008039069834233331,0.012412453399999765,0.004566176400000188,46.85726601820001,0.007809544336366667,0.9691787614473046,0.03082123855269534,0.969830090565773,0.030169909434226972,1.2200000000000002,32640.0,13320.0,1.16,31840.2,12880.0
300,120,124.3718619754749,126.47128749763758,0.011336080800000259,0.0036344557999999473,193.05138342300003,0.008043807642625,0.012413276400000044,0.003619622800000144,189.85863807620007,0.007910776586508336,0.9691593678115249,0.030840632188475214,0.9696592713061374,0.030340728693862683,1.2216666666666667,130640.0,53320.0,1.1816666666666666,128720.2,52320.0
320,32,129.20673559378437,125.82666988293559,0.0112513787999998,0.0036770746000000186,49.5887837776,0.00774824746525,0.011277914600000294,0.004287457199999916,50.9087457152,0.007954491518,0.97048433897025,0.029515661029750027,0.9695933615992445,0.030406638400755505,1.13125,33680.0,13640.0,1.19375,34480.0,14040.0
320,128,127.54606324944271,126.81362272030461,0.011426476999999834,0.0036144715999999024,200.745446986,0.007841619022890623,0.01137108519999972,0.0035709017999992375,201.92245883660001,0.007887596048304687,0.9700820466444595,0.029917953355540438,0.9698682112389558,0.0301317887610441,1.159375,136160.0,55280.0,1.1734375,136880.0,55640.0
