n,throughput,vlink_throughput,generation_latency_max,generation_latency_min,generation_latency_agg,generation_latency_avg,vlink_generation_latency_max,vlink_generation_latency_min,vlink_generation_latency_agg,vlink_generation_latency_avg,fidelity_avg,fidelity_loss_avg,vlink_fidelity_avg,vlink_fidelity_loss_avg,swaps,c_message_count,q_message_count,vlink_swaps,vlink_c_message_count,vlink_q_message_count
42,7.451934380720356,107.74003476740303,0.13602407600000177,0.13147679499999754,66.96247906999997,0.13419334482965925,0.134656571,0.008268506000000286,4.640800433000009,0.009281600866000017,0.5716897488362233,0.42831025116377675,0.5291615323223399,0.47083846767766013,40.06012024048096,41479,20491,2.0,3502,1000
43,7.274754588347684,107.57651541938334,0.13961609299999367,0.13555696099999892,68.59337919100003,0.13746168174549103,0.136799027,0.008134423000001334,4.6478545810000185,0.009295709162000038,0.5650753796224554,0.43492462037754465,0.5243042924822927,0.4756957075177073,41.05811623246493,42476,20989,2.0,3502,1000
44,7.106322985359475,107.3687648664024,0.14321948599999956,0.13847262600000043,70.21915567699995,0.1407197508557113,0.140901636,0.00817404200000027,4.65684783300007,0.009313695666000139,0.5585974196164314,0.4414025803835686,0.5086471848884582,0.49135281511154183,42.06012024048096,43475,21488,2.0,3502,1000
45,6.944169348608932,107.40306497260796,0.14624672799999994,0.141097967,71.85884660200007,0.1440057046132266,0.143115634,0.00829488399999967,4.655360627999953,0.009310721255999906,0.5522345425833167,0.4477654574166833,0.5008610401399681,0.49913895986003187,43.05811623246493,44472,21987,2.0,3502,1000
46,6.792753017352584,107.08033626929705,0.14920326200000034,0.14430211500000212,73.46064235300004,0.14721571613827664,0.147291261,0.008281173999996838,4.669391388000003,0.009338782776000006,0.5460633843870558,0.4539366156129442,0.4962851743672364,0.5037148256327636,44.05811623246493,45470,22486,2.0,3503,1000
47,6.645942218830793,106.89957531079881,0.15273157399999704,0.148076659,75.08340932999987,0.1504677541683364,0.150359238,0.008311593000001949,4.677287057000037,0.009354574114000074,0.5399737058527389,0.46002629414726115,0.49201544694229,0.5079845530577101,45.05811623246493,46468,22985,2.0,3503,1000
48,6.502046092380835,106.41100996446187,0.15609793299999986,0.151718947,76.74507269100005,0.15379774086372755,0.152644719,0.008378119999999711,4.698761906000001,0.009397523812000003,0.5339697510333798,0.46603024896662015,0.48779734341186515,0.5122026565881348,46.05811623246493,47465,23484,2.0,3503,1000
49,6.36944830932484,106.46481598489606,0.15937722099999974,0.15462724700000052,78.34273484399999,0.1569994686252505,0.157249683,0.008186826999999397,4.6963872089999565,0.009392774417999914,0.5281853300772178,0.4718146699227822,0.48367358682374884,0.5163264131762512,47.06012024048096,48465,23983,2.0,3503,1000
50,6.239748701150087,106.18256550197358,0.16252436599999998,0.15725643300000058,79.97116933700009,0.1602628644028058,0.159238369,0.008216534000000664,4.708870967999983,0.009417741935999967,0.5224655911374008,0.47753440886259924,0.4795942064110414,0.5204057935889586,48.05811623246493,49461,24482,2.0,3503,1000
51,6.1142457456359836,105.95798310181154,0.16649237299999697,0.16148936500000133,81.6126830289998,0.1635524709999996,0.164788164,0.008389343000001048,4.7188516179999995,0.009437703236,0.5168451838074711,0.48315481619252887,0.47560555619269346,0.5243944438073065,49.05811623246493,50460,24981,2.0,3503,1000
